date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2014-12-15,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-16,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-19,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-22,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-23,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-25,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-26,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-29,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-30,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-31,1.0,1.0,1.0,1.0,1.0,1.0
2015-01-05,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985
2015-01-06,1.0258021121043026,1.016348088290655,1.018174937082379,0.9991162417306391,0.9897976085461784,1.0098477975508309
2015-01-07,1.0208114514345932,1.0132977259504872,1.0200807330923778,1.0024914142438732,0.9980015686213394,1.0109933750510873
2015-01-08,1.019818963171955,1.008661107195327,1.010980187152134,0.9804964054846175,0.9639827744643037,0.996739038921325
2015-01-09,1.0183787960853168,1.0035064154408884,1.0030175575607398,0.968984788217977,0.955223352120395,0.9897168014407289
2015-01-12,1.013191516079753,0.9955477228116724,0.9928035037953231,0.9504624718760745,0.9280225326367103,0.9757026244183041
2015-01-13,1.0373322691253462,1.0116436433346043,1.0017253479027979,0.9507354752271879,0.926081084078017,0.9849085876507753
2015-01-14,1.0314181183091533,1.0067605753786308,0.9922468675989071,0.9413466391134221,0.9209191315779371,0.9779276258623321
2015-01-15,1.0367546682343367,1.0136791768837352,1.003257128997561,0.9641219589034613,0.9521249397028086,0.993813538532107
2015-01-16,1.0471350613329646,1.0265815605109745,1.0182022870430358,0.975344655042483,0.9554842990004161,1.004309383022434
2015-01-19,1.0197481786979965,0.9901370429889262,0.9702572786066468,0.8978470731743854,0.8701790553053992,0.9485744189502462
2015-01-20,1.06324624767361,1.0254877340810258,1.0014627463623835,0.918218215739187,0.8801632441372299,0.9760229704024559
2015-01-21,1.085131543983628,1.047940407567255,1.0288141260516301,0.9544803264276821,0.9243048546315776,1.0071450182361579
2015-01-22,1.1071593411104077,1.0645086542895386,1.0462587062303237,0.9614691228771826,0.9359135091075352,1.021838738219869
2015-01-23,1.0951076375922102,1.0553678325371993,1.03398849505103,0.9572441998899551,0.9388609570417077,1.0152080662596141
